Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,28.44238091,3.173827887,-2.136230469,0.099243164,0.137817383,1.058837891
0.12123776,24.47509575,4.333496094,-1.6479491,0.103393555,0.09753418,1.057250977
0.24131513,30.63964653,4.760742188,-2.990722418,0.111328125,0.053833008,1.049804688
0.36176205,33.50830078,5.676269054,-3.479003668,0.123168945,-0.013671875,1.051879883
0.48133421,33.99658203,5.615233898,-3.662109137,0.134765625,-0.075317383,1.041259766
0.60016894,35.33935547,5.432128429,-4.455566406,0.143310547,-0.139160156,1.022216797
0.7205925,38.87939453,5.859374523,-4.39453125,0.169311523,-0.248535156,1.04309082
0.9008615,31.86034966,4.821777344,-3.784179449,0.16418457,-0.279663086,1.010864258
0.96010757,33.02001953,5.004882813,-4.577636719,0.173461914,-0.343994141,1.013183594
1.08066321,13.7329092,2.807616949,-2.380371094,0.172729492,-0.345336914,0.977172852
1.20086265,-0.24414061,0.48828122,-1.831054568,0.163818359,-0.326782227,0.936645508
1.32085204,-9.643554688,-1.098632813,-1.159667969,0.162109375,-0.328857422,0.917114258
1.44165731,-26.18408012,-4.39453125,0.24414061,0.151733398,-0.277709961,0.868652344
1.56142235,-15.50292873,-1.831054568,0.24414061,0.159057617,-0.280151367,0.896362305
1.74064899,-37.59765625,-3.479003668,4.028320313,0.155395508,-0.276245117,0.936035156
1.80158687,-56.39648056,-7.629394054,5.676269054,0.136962891,-0.145874023,0.902587891
1.92126537,-46.87499619,-6.652831554,3.906249762,0.12890625,-0.070678711,0.923583984
1.98115397,-49.37743759,-6.347655773,5.554198742,0.118286133,0.005249023,0.932617188
2.10020638,-41.1376915,-5.798339367,4.943847656,0.094726563,0.111450195,0.90637207
2.22161651,-29.47997856,-4.699707031,4.028320313,0.101074219,0.133300781,0.919189453
2.34163499,-21.72851372,-3.173827887,3.417968512,0.08996582,0.165405273,0.915405273
2.46079016,-3.906249762,-0.732421815,1.159667969,0.08972168,0.164916992,0.947875977
2.58086157,2.258300781,-0.610351563,0.671386659,0.090209961,0.169067383,0.986328125
2.70072079,14.77050686,1.525878787,-0.854492128,0.096313477,0.172973633,1.013793945
2.82100535,22.46093559,2.136230469,-1.403808475,0.102539063,0.13659668,1.068847656
2.94197607,26.55029106,3.051757574,-1.403808475,0.103271484,0.123535156,1.067993164
3.06129813,33.50830078,4.333496094,-2.075195313,0.10949707,0.083007813,1.071044922
3.18077588,41.44286728,5.798339367,-4.577636719,0.116333008,0.002319336,1.07824707
3.30053783,46.32567978,7.080077648,-5.126952648,0.135864258,-0.079589844,1.066162109
3.42124272,35.94970703,5.676269054,-4.211425781,0.149047852,-0.164306641,1.06628418
3.54190445,38.0859375,5.676269054,-4.455566406,0.15234375,-0.200317383,1.026123047
3.72082544,39.97802734,5.493163586,-5.126952648,0.170288086,-0.294677734,1.028320313
3.78113008,26.85546684,4.211425781,-4.089355469,0.170654297,-0.330078125,0.993164063
3.90116573,13.91601467,3.356933355,-2.746581793,0.176269531,-0.361450195,0.974243164
4.02080441,-2.075195313,0.854492128,-1.098632813,0.160888672,-0.325195313,0.914428711
4.14056373,-10.43701077,0.122070305,-0.610351563,0.168823242,-0.342651367,0.906738281
