Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,711.059509,-220.153793,194.702133,-0.228271,0.045898,3.999878
0.156984,-702.819763,342.040985,193.420395,1.755371,0.115234,3.072144
0.260929,-414.367645,106.811516,63.171383,3.647339,-3.992554,3.691284
0.367571,63.781734,55.908199,2.868652,0.351685,-0.027222,0.735107
0.524487,7.446289,-2.685547,-2.01416,0.17688,-0.011841,1.0271
0.629773,317.382812,-213.439926,-311.523438,-0.277344,-3.927246,3.999878
0.734968,793.45697,-149.719238,41.381832,0.293457,2.362793,3.999878
0.839524,-700.683533,242.797836,315.063477,0.312988,-1.210205,3.999878
0.99718,-173.461899,113.220207,151.672363,1.298096,-3.999878,3.224854
1.102117,59.93652,20.751951,-7.751464,0.388916,-0.261353,1.031006
1.206848,-0.915527,-0.183105,0.610352,0.173218,0.009766,0.997681
1.3126,146.850586,-224.975571,-174.499496,-0.611938,-3.855103,1.768066
1.469491,718.505798,-195.739731,37.414551,0.42395,-0.15564,3.999878
1.574485,-750.854431,54.26025,79.345703,1.93811,0.25,1.188721
1.679374,-529.174805,236.57225,-71.777344,3.19458,-1.38562,3.512451
1.785611,-137.329102,-656.61615,124.084465,-1.918457,2.315796,1.790039
1.942086,11.108397,-2.746582,6.652832,0.192627,0.000854,0.98999
2.047547,145.568848,252.929672,-99.853508,-2.091675,-3.994751,-1.403198
2.151429,605.224609,-243.957504,80.01709,0.377197,-0.223755,3.992432
2.309904,-305.358887,99.914543,-101.623528,3.830322,3.554077,2.287354
2.467087,-596.984863,97.106926,-176.757797,1.724854,-0.9823,3.858154
2.51936,4.882812,43.457027,-75.744629,1.430908,-0.766479,0.957397
2.624502,5.737304,-0.976562,5.493164,0.172119,0.032471,0.977539
2.78212,72.998047,139.038086,-40.466305,-1.924683,-3.999878,2.942505
2.887494,514.404297,-368.774384,-109.252922,1.500122,-0.872314,3.999878
2.992334,400.085419,-123.229973,-307.678223,4,3.981934,3.479004
3.096294,-693.969666,-27.893064,0.793457,-1.135254,-0.918091,3.953735
3.255448,-58.959957,476.440399,-27.587889,0.773438,-3.243164,0.912109
3.358432,17.700195,-13.427733,6.469726,0.103271,0.028076,1.038696
3.464249,-44.616695,42.297359,-1.586914,-0.213623,-1.176636,1.062744
3.568529,499.023407,-311.706543,-262.329102,2.841675,-1.200562,3.971802
3.726642,541.931152,-131.530762,-165.222153,1.473755,4,1.640259
3.831781,-660.888611,101.074211,262.878418,-2.14209,-0.625244,3.363647
3.93754,-254.638657,100.280754,222.167953,-3.072632,-3.999878,0.25769
4.041704,52.307125,13.061522,-1.037598,0.042603,-0.030762,1.129517
4.199263,-10.375976,5.615234,-5.859375,0.09729,-0.066895,1.275391
4.304539,481.140106,-133.056641,-316.101074,2.562256,-2.846558,3.946655
4.408955,693.78656,-136.59668,-8.666992,0.253906,3.650879,3.852417
4.567364,-652.282654,254.760727,344.055145,-0.408447,-0.63916,3.999878
4.671843,-418.33493,94.116203,-17.63916,2.080322,-3.722412,3.474854
4.777214,-0.183105,-74.035645,-1.525879,0.317627,-0.124634,0.997925
4.881832,-4.333496,3.845215,1.159668,0.149536,0.000488,1.062012
5.04083,268.615723,-307.739258,-108.64257,-1.119263,-3.711304,3.846069
5.197994,797.058044,-194.885239,56.579586,0.52417,-0.251953,3.999634
5.249137,-800.292908,17.39502,60.791012,2.169189,-0.24231,2.308472
5.355141,-614.440918,186.523422,-59.692379,1.984741,-1.911499,3.747314
5.512067,-141.540527,-542.907715,113.525383,-1.587036,1.903564,1.062134
5.62002,13.122558,-5.065917,6.896972,0.18811,0.003174,1.001953
5.722345,261.84082,298.706055,-62.988277,-1.640015,-3.999878,-1.639771
5.93148,636.291504,-220.214828,-15.075683,0.776123,-1.116211,3.999878
5.984654,-50.170895,-85.266106,-273.010254,4,3.977661,3.743286
6.09059,-653.259216,52.856441,-37.780762,-0.88208,-1.071777,3.91394
6.194622,-129.394531,304.077148,-51.696774,-0.120728,-3.803833,0.516968
6.402968,8.972168,-13.061522,9.277344,0.13562,0.011841,1.033813
6.456385,-146.057129,42.968746,0.244141,0.278809,-0.400024,1.176147
6.665745,448.608368,-138.793945,-424.0112,3.352661,-2.057251,3.970825
6.667737,752.441345,-58.593746,-31.005857,-0.294922,3.739746,3.737061
6.822983,-688.964783,223.632797,289.18457,-0.433594,-0.943726,3.999878
6.928516,-427.062958,85.937492,129.516602,-0.480591,-3.999878,3.442261
7.034192,49.987789,4.394531,-8.789062,0.231934,-0.116943,1.103027
7.139995,-4.394531,-3.051758,-2.624511,0.092773,0.00354,1.062622
7.297305,273.55957,-275.024414,-241.638168,-0.54187,-3.861084,3.999878
7.40282,739.501892,-199.890121,139.770508,-0.29126,-0.19812,3.999878
