Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0.000000,-39.001465,18.981934,-25.756834,-1.124146,-2.380371,0.981079
0.119972,668.823181,-158.081055,-36.315918,0.060791,-1.099854,3.992676
0.240683,324.096649,-97.045891,-226.928696,3.517334,3.976196,2.495972
0.360532,-714.233337,79.772949,50.231930,0.293213,-1.347900,3.915649
0.480577,-244.934067,-247.131332,243.347153,-0.988037,1.705566,0.484741
0.600717,-59.631344,82.275383,-91.735832,-2.972168,-3.999878,1.269165
0.719373,670.898376,-237.915024,-157.287598,1.118164,-0.948120,3.999878
0.839772,206.909164,-225.646957,-58.349606,3.741455,3.968506,2.674194
0.960100,-788.452087,168.884262,44.311520,1.045410,-3.489746,3.979492
1.080104,-2.990722,-35.156250,95.336906,0.389404,-0.314941,1.476196
1.199697,-39.001465,36.926270,-29.113768,-1.701416,-2.356201,0.849487
1.319942,623.352051,-254.028305,-161.926254,1.166748,-1.621704,3.983398
1.440319,471.130341,-224.914536,-153.442383,3.251831,4.000000,2.424438
1.559772,-794.494568,62.011715,111.083977,-0.918945,-1.243408,3.999390
1.679971,-196.350082,-483.642548,124.084465,-1.678711,2.167969,1.015259
1.799605,-28.259275,24.291990,2.746582,0.225586,-0.141235,1.429443
1.919684,618.591309,-182.373032,-303.466797,3.559448,-3.224487,3.936279
2.099215,511.474579,-196.289047,-167.419418,3.128662,4.000000,3.040771
2.159606,-859.008728,56.396481,175.659164,-1.172974,-1.658936,3.975464
2.279426,-154.174805,-368.530243,139.953613,-1.477295,1.502441,1.034668
2.400851,-15.502929,8.483887,8.728027,0.171631,-0.085083,1.334961
2.520500,661.926208,-39.306641,-256.103516,2.512451,-3.271851,3.925903
2.640301,598.327637,-167.968735,-234.008774,3.545776,4.000000,3.728149
2.760102,-902.526794,92.346184,275.268555,-0.466919,-1.802246,3.999878
2.879964,-31.982420,106.140129,89.721672,0.890869,-1.730835,1.097534
2.999859,-2.258301,-0.244141,8.850098,0.133301,0.020874,1.045776
3.120207,800.476013,-3.845215,-299.072266,2.735229,-3.939941,3.999878
3.239804,726.013123,-178.955063,-179.443344,2.689209,2.350342,3.999878
3.360483,-1001.159607,156.372070,261.901855,0.049683,-2.610596,3.999878
3.480085,-229.125961,153.198242,185.241684,-2.521362,-3.716431,0.525635
3.600455,-0.244141,-4.882812,17.822266,0.142944,-0.006226,1.051025
3.719828,610.900879,-33.203125,-108.337395,0.286987,-3.830933,3.895752
3.840581,755.737244,-153.686523,-137.512207,1.770386,0.889404,3.999634
3.960658,-1047.241211,69.580078,193.603500,1.233032,-1.505005,3.987915
4.080412,-456.726044,-6.958007,198.791489,-0.338623,-3.998047,2.470215
4.199825,36.926270,1.953125,-34.606934,-0.110718,0.068481,1.009277
4.320681,270.446777,14.404296,-243.774399,-0.064453,-3.698242,2.000732
4.439684,732.482849,-151.184082,-118.408195,0.925537,-0.485229,3.999512
4.559958,-962.402283,58.044430,180.786118,1.678223,0.593994,3.983276
4.679766,-621.643066,190.368637,-19.531250,3.026367,-3.999878,3.582520
4.800503,64.025879,-5.310058,-25.695799,-0.059570,0.099731,0.825562
4.919955,142.883301,227.783188,-269.592285,0.679932,-3.999878,-0.256958
5.040648,757.141052,-156.921387,-47.973629,0.999756,-1.062012,3.999878
5.159461,-723.754822,159.606934,174.926743,1.764282,2.126831,3.999878
5.279613,-654.907166,217.773422,-80.505363,2.164429,-3.915161,3.728027
5.399289,72.509766,-19.592285,6.225585,0.305908,-0.079224,0.778564
5.520180,-55.236813,187.622055,-172.973618,-1.583618,-3.999878,0.951782
5.640723,677.123962,-222.045883,-87.829582,1.238403,-1.075317,3.999878
5.760145,-214.843735,42.053219,-58.959957,3.770386,3.808594,3.999878
5.880651,-734.191833,129.516602,-52.124020,0.932007,-2.317993,3.951294
6.000431,-39.367676,-300.354004,186.035141,0.202393,0.092651,0.929932
6.119538,-110.473625,128.906250,-169.677719,-1.288940,-3.999878,0.653320
6.299616,653.381287,-170.166000,-117.858879,0.984497,-1.375854,3.990234
6.359445,214.416489,-122.497551,-15.380858,1.104492,3.973145,3.750977
6.479917,-809.448181,75.073242,74.707031,-1.185791,-1.730713,3.531128
