Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,-19.348145,4.882812,-1.89209,0.258301,0.088989,0.857422
0.006,4.150391,10.009766,2.990722,0.231323,0.191772,0.639648
0.103991,27.221678,-29.479979,7.263183,0.206787,-0.029541,0.984253
0.261472,-42.602535,38.208008,-22.094725,-0.015869,-1.484253,1.109741
0.419019,595.52002,-140.50293,-391.784637,3.524658,-2.695312,3.930664
0.471857,566.467285,-106.018059,-251.770004,2.739624,4,3.999878
0.57537,-875.24408,209.716782,483.215302,-0.43457,-2.481445,3.999878
0.786872,-239.868149,-104.61425,182.311996,1.041382,-2.152588,1.3927
0.891524,9.460449,-13.488769,16.723633,0.254883,-0.133545,1.151123
0.943457,688.903748,-40.222164,-360.900848,2.991943,-3.753662,3.999878
1.049449,677.978455,-136.291504,-246.765121,2.207764,4,3.786621
1.259736,-865.478455,45.043941,198.059067,-0.743774,-2.008789,3.976318
1.363523,-144.104004,101.196281,87.341301,-0.056885,-0.775391,0.722412
1.522242,10.009766,-23.864744,30.151365,0.353271,-0.153198,1.169556
1.573146,622.009277,32.348633,-309.448242,2.816895,-3.721191,3.995239
1.67886,619.628906,-236.145004,-257.446289,4,3.289062,3.999878
1.835569,-951.843201,211.242661,289.550781,0.481445,-2.082642,3.999878
1.889211,-116.333,-27.9541,253.96727,-1.971802,-3.214844,0.92981
2.046312,-5.737304,-14.770507,12.512206,0.186279,-0.103394,1.105469
2.152131,834.899841,27.038572,-275.512695,2.726196,-3.999878,3.999878
2.309466,726.92865,-187.133774,-275.634766,2.976807,0.818604,3.999878
2.36167,-1123.352051,100.524895,422.058075,0.470703,-3.097168,3.991699
2.518987,-329.894989,61.889645,384.094208,-2.952515,-3.96875,0.080566
2.623348,-4.272461,13.244628,-20.507811,-0.01416,-0.045654,1.049805
2.7807,371.887177,135.986328,-259.094238,-0.421875,-3.944336,2.527954
2.886414,765.197693,-165.466293,-155.334473,1.69104,-0.72644,3.998901
2.991962,-1060.974121,-25.512693,334.28952,1.062378,-1.189575,3.984131
3.096005,-517.028809,149.230957,200.622543,1.878906,-3.999878,2.432007
3.305439,35.583496,-8.117676,-7.019042,-0.045532,0.300293,0.714233
3.358518,-53.100582,199.096664,-203.857407,-1.156616,-3.999878,-0.121216
3.464423,713.745056,-257.385254,-110.839836,1.985229,-2.260254,3.999878
3.621501,-245.788559,176.940903,-15.319823,3.502686,3.095215,3.999878
3.726158,-808.654724,142.211914,12.878417,1.292725,-2.800049,3.996216
3.832319,110.41259,-31.555174,100.708,0.216431,-0.444214,1.4198
3.936759,-45.532223,36.987305,-11.840819,-0.775879,-1.964355,0.221436
4.04154,573.791504,-241.332993,-217.346176,1.737793,-2.278809,3.976196
4.199151,531.37207,-122.497551,-215.942368,3.254639,4,3.334473
4.303845,-878.601013,110.046379,174.011215,-0.074463,-2.028198,3.999878
4.409152,-38.879395,83.618156,71.716309,-0.49646,-2.136353,1.851074
4.513914,6.103515,-7.263183,12.20703,0.163574,-0.038452,1.014282
4.723939,749.267517,9.094238,-327.758759,2.251465,-3.883545,3.999878
4.775683,786.010681,-176.208481,11.413573,0.931885,-0.869629,3.999634
4.933203,-1013.366638,-101.013176,314.27002,0.693848,-1.20166,3.99231
4.98695,-398.498505,81.481926,224.243149,-0.291138,-3.999878,2.272827
5.196116,30.09033,6.774902,-20.38574,-0.062256,0.162598,0.784424
5.248821,24.902342,228.63768,-276.916504,-0.372681,-3.999878,-1.123413
5.405662,684.326111,-202.514633,-164.916977,1.961548,-2.278198,3.999878
5.511873,276.000977,-42.846676,-150.268555,3.959839,3.977051,3.899536
5.669585,-835.632263,46.56982,-31.188963,0.990845,-1.966553,3.929932
5.721772,-268.920898,-301.391602,134.094238,-1.155884,1.672241,0.572998
5.826388,-3.845215,7.446289,7.873535,0.211304,-0.161377,1.377686
5.984034,571.166992,-89.416496,-375.488251,2.826904,-2.897095,3.932617
6.088284,664.123474,-124.084465,-126.281731,1.646118,1.92688,3.999878
6.193259,-1004.455505,-0.427246,204.162582,-0.128662,-2.534424,3.999268
6.351174,-241.332993,248.229965,356.384247,-3.101562,-3.920166,1.364624
6.456308,-8.972168,5.615234,-11.352538,-0.09314,0.088867,0.946289
6.665786,251.464828,309.570312,-366.394012,0.987427,-3.999878,-0.643555
6.668309,706.237732,-251.770004,-91.857903,1.604248,-1.870728,3.998657
6.824168,-157.165527,28.137205,-46.997066,3.14502,3.845703,3.999878
7.085745,-776.061951,135.803223,-54.626461,1.697754,-2.746216,3.889282
7.191944,-174.865707,-342.163055,219.360336,-0.602905,0.819092,0.364868
7.196051,-33.081055,30.700682,-0.854492,-0.195679,-1.147705,1.666382
