Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,-5.554198742,0.549316406,0.061035153,0.178100586,-0.438110352,0.888183594
0.119612694,-0.549316406,0.24414061,-1.159667969,0.180908203,-0.444702148,0.904174805
0.240114689,-7.995604992,-0.305175781,-0.305175781,0.176513672,-0.438232422,0.919677734
0.360280991,-31.49413872,-2.807616949,2.136230469,0.168823242,-0.39050293,0.919799805
0.479933739,-25.02441216,-2.380371094,1.6479491,0.157592773,-0.279052734,0.873168945
0.600886107,-4.8828125,-1.281738162,-0.732421815,0.163696289,-0.307128906,0.926269531
0.719720364,-27.58788872,-4.211425781,2.319335938,0.159912109,-0.288696289,0.932006836
0.840219736,-35.76660156,-4.699707031,3.234863043,0.143676758,-0.210449219,0.912231445
0.959860802,-35.03417969,-3.845214605,3.051757574,0.145751953,-0.165649414,0.934204102
1.080001593,-45.10497665,-5.004882813,5.126952648,0.140136719,-0.09777832,0.948120117
1.200305462,-46.26464462,-7.080077648,4.821777344,0.109985352,0.011352539,0.928710938
1.319751263,-29.05273247,-4.943847656,3.173827887,0.106567383,0.064331055,0.925170898
1.499620438,-32.77587891,-5.126952648,4.150390625,0.099609375,0.096923828,0.91809082
1.559921742,-26.24511528,-3.60107398,3.845214605,0.095581055,0.126831055,0.917724609
1.680513859,-23.19335747,-4.150390625,2.990722418,0.096557617,0.141845703,0.946411133
1.800228596,-8.239746094,-1.037597656,2.502441406,0.098999023,0.164794922,0.987426758
1.919502974,2.929687262,0.24414061,0.915527284,0.094726563,0.19519043,1.018310547
2.039712906,13.61083889,1.525878787,-1.098632813,0.087524414,0.216552734,1.045898438
2.159841061,29.54101372,4.028320313,-2.44140625,0.10534668,0.182617188,1.077880859
2.279790402,36.37695313,4.577636719,-2.746581793,0.107299805,0.147460938,1.076416016
2.399664879,45.65429306,6.774901867,-4.333496094,0.113647461,0.065551758,1.081176758
2.519748211,48.88915634,7.812499523,-4.8828125,0.132324219,-0.019775391,1.063964844
2.640202284,49.56054306,8.117675781,-5.004882813,0.150634766,-0.129760742,1.055664063
2.8206563,36.80419922,5.737304211,-4.089355469,0.159301758,-0.211914063,1.035644531
2.8796978,31.18896294,4.455566406,-4.333496094,0.165893555,-0.264892578,1.012207031
2.999808312,23.74267387,3.662109137,-3.540038824,0.17199707,-0.311279297,0.999633789
3.119633436,14.28222561,2.319335938,-2.807616949,0.168212891,-0.317871094,0.966674805
3.239392042,4.8828125,1.525878787,-1.892089725,0.170654297,-0.323364258,0.947998047
3.359714985,-6.896972179,-0.48828122,-0.854492128,0.166748047,-0.315551758,0.932495117
3.479782343,-7.446288586,-1.525878787,-1.037597656,0.155761719,-0.29309082,0.910400391
3.600059271,-14.58740139,-2.44140625,-0.061035153,0.153930664,-0.296386719,0.908447266
3.719153643,-31.67724419,-4.455566406,2.502441406,0.155883789,-0.266845703,0.897827148
3.8394804,-42.23632431,-5.493163586,4.39453125,0.150268555,-0.215942383,0.912475586
3.960359573,-47.72948837,-6.591796398,4.516601563,0.134277344,-0.125366211,0.91394043
4.079432488,-44.18944931,-6.225585461,5.065917492,0.121337891,-0.045776367,0.922119141
4.199959993,-42.90771103,-6.408690929,5.004882813,0.106567383,0.023803711,0.919555664
4.319895983,-28.869627,-4.150390625,3.417968512,0.105712891,0.067016602,0.931396484
