Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,480.468719,111.877434,-227.539047,1.715332,-3.974487,3.999878
0.106136,677.856384,-185.607895,-170.654282,1.445435,0.028809,3.999756
0.263969,-892.761169,158.325195,193.908676,2.561646,-0.394287,3.996582
0.368609,-628.90625,75.561523,72.692871,1.901611,-3.999878,2.702148
0.473066,127.685539,-16.906738,-12.023925,0.44751,-0.380249,1.268921
0.630396,-68.29834,88.928215,-66.833496,-1.900391,-3.604248,0.857178
0.839505,522.033691,-327.636688,-256.530762,2.407227,-1.79126,3.978638
0.843644,560.72998,-65.612793,-220.581039,0.680664,4,2.101685
0.946084,-756.957947,49.377438,106.567375,-0.195557,-1.645142,3.880615
1.102957,-241.699203,-101.440422,-5.432128,-0.565796,-0.888306,0.542969
1.259985,7.019042,-6.713867,10.253905,0.194946,-0.076782,1.051514
1.313151,433.593719,95.947258,-151.977539,-1.064575,-3.946899,3.0896
1.418605,756.896912,-143.676758,-126.220695,1.745972,-1.09082,3.999146
1.575566,-953.124939,-133.605957,379.333466,1.046021,-0.647705,3.766113
1.680599,-600.463867,170.410141,134.033203,2.437256,-3.999878,2.01123
1.786113,129.699707,-5.554199,17.700195,0.448853,-0.418579,1.198853
1.890837,-31.616209,20.019531,-10.131835,-0.223999,-0.69458,1.10083
2.047114,543.823242,-213.317856,-334.838837,2.485718,-2.797241,3.945435
2.153528,654.907166,-84.045403,-202.819809,0.991455,4,2.41687
2.257791,-761.840759,168.334946,63.537594,1.172852,-1.977905,3.89624
2.417779,-82.580559,167.9077,23.437498,-2.968994,-3.15625,-0.979248
2.521349,3.723144,1.953125,-4.638672,0.144165,-0.068604,1.084229
2.625549,309.020996,451.843231,-270.690918,-0.415649,-3.982788,-0.380615
2.782049,708.557068,-221.313461,-117.248528,1.864258,-1.359131,3.998291
2.8877,-515.74707,99.853508,132.263184,2.469482,2.2771,3.653442
2.993719,-681.091248,144.958496,38.635254,2.699097,-2.972656,3.796875
3.098433,-73.303223,-116.516106,202.087387,-0.277466,0.544434,0.586426
3.203742,-10.19287,2.319336,3.784179,0.22583,-0.062378,1.119263
3.465672,606.262207,-46.386715,-439.147919,2.726318,-3.340454,3.999878
