Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,9.399414,-3.662109,0.183105,0.167969,-0.051147,1.004517
0.104054,319.580078,390.258759,-346.252411,0.393555,-3.999878,0.053101
0.209693,677.856384,-170.654282,-68.664551,0.32251,-0.39856,3.998291
0.366482,-351.440399,30.883787,41.687008,3.262817,3.91394,2.464355
0.472287,-655.090271,155.334473,85.571281,2.328247,-3.62793,3.907959
0.577088,6.408691,1.831055,31.066893,0.363037,-0.453979,1.435547
0.73503,-31.738279,19.470215,-11.108397,-0.537109,-0.920288,0.835571
0.840722,609.863281,-213.561996,-247.436508,2.989746,-2.439575,3.923706
0.944836,548.400879,-232.42186,-357.72702,2.967407,4,3.750122
1.050125,-822.021423,-11.474608,235.900864,-1.63147,-1.563965,3.998535
1.207295,-100.83007,194.946274,117.065422,-0.619263,-3.373535,1.019165
1.312245,-1.770019,-3.90625,11.779784,0.180176,-0.042725,1.048462
1.417535,561.340332,-76.11084,-298.706055,1.158691,-3.985718,3.999878
1.522902,752.38031,-197.448715,-162.048325,1.411621,0.551147,3.999756
1.680105,-868.591248,154.846191,443.969696,1.160156,-1.604736,3.999878
1.785614,-528.381348,141.662598,192.382797,2.876221,-3.999878,3.105957
1.890377,124.572746,-9.399414,22.521971,0.492065,-0.598755,1.218384
1.995715,-115.356438,85.998528,-73.791504,-1.922119,-3.959106,0.910522
2.205037,662.048279,-250.854477,-216.308578,1.911987,-2.170044,3.999878
2.257651,95.581047,65.307617,-279.724121,4,3.768921,3.999878
2.468775,-759.948669,142.700195,-48.46191,1.803589,-1.937134,3.994385
2.474352,-208.801254,-396.057098,207.763657,-1.219727,1.872559,0.494141
2.624622,1.281738,4.821777,6.408691,0.209351,-0.060913,1.155029
2.73021,709.594666,72.753906,-375.488251,2.788086,-3.999878,3.999878
2.835026,698.486267,-187.316879,-234.43602,2.231812,1.289185,3.999878
2.940622,-876.830994,141.723633,385.436981,0.966553,-2.010742,3.999878
3.096798,-487.976044,100.952141,122.070305,0.174316,-3.999878,2.18457
3.201447,71.105957,-24.841307,-16.235352,0.110596,0.19873,0.880737
3.307613,-58.715816,115.051262,-109.924309,-0.896606,-3.999878,1.168823
3.412602,659.912048,-217.590317,-212.89061,1.953613,-1.956299,3.999878
3.570525,198.791489,58.471676,-224.304184,4,3.787109,3.999878
3.675156,-731.811462,76.23291,-6.408691,1.17981,-1.207642,3.999878
3.779144,-253.723129,-463.0737,77.392578,-0.910156,1.371704,1.754272
3.884232,16.235352,-2.990722,12.20703,0.199585,-0.019653,1.027954
4.041584,691.89447,-11.047362,-398.498505,3.342896,-3.999878,3.999878
4.147502,735.839783,-200.317368,-208.251938,1.741333,1.140137,3.999878
4.253102,-910.339294,11.779784,405.273407,0.466187,-1.945801,3.999878
4.409899,-532.348633,157.836914,242.736801,-0.249146,-3.999878,2.030029
4.514637,32.348633,0.427246,-11.352538,-0.067627,0.127808,0.923828
4.620272,226.440414,207.763657,-324.890106,0.708374,-3.999878,-0.135132
4.724815,747.741638,-223.388657,-181.88475,1.769775,-1.786621,3.999023
4.881492,-471.557587,101.135246,44.799801,3.583496,2.492188,3.913086
4.986705,-729.980408,140.319824,128.112793,1.069824,-2.12207,3.999878
5.091727,-148.010254,-285.400391,214.477524,-0.807983,1.289062,0.456055
5.250469,-2.01416,2.441406,5.859375,0.16333,-0.026855,1.066528
5.353711,700.439392,45.166012,-424.682587,3.901367,-3.796631,3.999878
5.460418,699.645935,-178.710922,-211.242661,2.593262,2.061646,3.999878
5.568707,-924.926697,2.807617,368.713348,-1.322021,-2.358521,3.999878
5.722683,-404.052704,113.769524,277.770996,-1.687378,-3.999878,2.112915
5.826808,16.418457,7.568359,-13.427733,-0.03772,0.181274,0.795776
5.932066,127.80761,286.92627,-395.507782,0.342163,-3.999878,-0.498779
6.038506,721.618591,-189.45311,-152.648926,1.745361,-1.887329,3.999878
6.246387,-529.846191,135.742188,88.98925,4,3.083252,3.931885
6.29989,-677.978455,123.107903,-2.075195,1.60083,-1.134644,3.999878
6.404155,-276.428223,-426.574677,42.175289,-1.203857,1.84729,1.539795
6.509816,11.291503,2.807617,10.375976,0.209961,-0.022949,1.066772
6.667391,760.497986,85.327141,-344.177216,3.287109,-3.840332,3.999878
6.772398,720.825134,-150.939941,-146.42334,1.485596,1.84082,3.999878
6.87673,-938.598572,-27.648924,282.653809,-0.758057,-1.807739,3.999878
6.9815,-448.913544,125.305168,167.419418,-0.466187,-3.999878,2.223511
7.139676,11.352538,1.037598,-7.507324,0.043945,0.031494,1.00647
7.244598,274.658203,230.285629,-210.815414,-0.815063,-3.999878,0.063721
7.350039,740.234314,-205.139145,-82.214348,1.23877,-1.366821,3.99939
7.506923,-668.579041,87.890617,98.449699,2.956787,1.701294,3.52478
7.61244,-661.743103,216.369614,33.325195,1.036011,-1.638062,3.981201
7.769877,-66.223145,-183.471664,206.848129,-0.239624,0.02417,1.422485
7.822883,-18.798828,15.258788,-4.272461,0.204346,-0.049438,1.206543
7.981686,549.194336,-107.666008,-346.191376,2.459961,-2.615112,3.933472
8.084878,646.78949,-186.340317,-162.475571,2.087036,2.87915,3.999878
8.189733,-891.845642,95.336906,231.140121,-0.282959,-1.987793,3.999878
8.294739,-432.128876,109.497063,204.711899,-0.558228,-3.999878,2.354614
8.452191,20.446775,8.361816,-21.911619,-0.091919,0.114136,0.932617
8.558117,115.600578,178.283676,-297.607422,0.642334,-3.999878,-0.62793
8.714871,698.242126,-192.321762,-130.432129,1.551514,-1.952026,3.999878
8.767721,-66.223145,46.630856,-104.37011,4,3.480713,3.999878
8.925597,-765.075623,57.739254,85.937492,0.680176,-1.328491,3.43811
9.030077,-202.575668,-301.818848,172.241196,-1.178955,1.856812,-0.076172
