Elapsed Time (s),Gyroscope X,Gyroscope Y,Gyroscope Z,Acceleration X,Acceleration Y,Acceleration Z
0,678.588806,-97.534172,-111.511223,1.059814,-2.111694,3.964233
0.11855,530.273438,-142.883301,-182.739243,1.56897,4,3.429443
0.23888,-859.191833,104.858391,255.920395,-0.340698,-1.623779,3.999878
0.358611,-138.305664,102.60009,187.011703,-3.424194,-3.996948,-1.943604
0.479251,15.563964,18.554688,-20.690916,-0.025635,0.011963,1.011719
0.599202,310.668945,172.05809,-287.719727,0.083984,-3.964355,0.609497
0.719409,725.707947,-226.50145,-139.770508,1.502563,-1.236694,3.999023
0.839255,-661.498962,82.336418,126.220695,2.223999,2.27002,3.999878
0.959698,-710.632263,207.031235,-26.428221,2.663574,-3.994385,3.835083
1.078837,100.646965,-15.258788,39.733887,0.268188,-0.2677,1.286255
1.199522,-18.005371,15.075683,-2.380371,0.324463,-0.240601,1.181519
1.319009,543.884277,-154.23584,-343.99411,2.389893,-2.249023,3.942871
1.439343,647.521912,-121.459953,-142.333984,1.99646,3.703125,3.99292
1.559728,-933.83783,57.128902,195.007309,-0.80481,-2.647705,3.983521
1.679474,-260.314941,15.86914,237.243637,-2.498291,-3.963501,-0.550171
1.799236,14.526366,4.089355,-8.605957,0.069946,-0.062988,1.109253
1.919451,255.493149,312.316895,-282.531738,-0.742065,-3.995605,-0.123779
2.038895,755.676208,-192.321762,-70.617676,1.465332,-1.602905,3.999146
2.159986,-399.291962,92.407219,144.836426,2.244507,3.17688,3.999878
2.278799,-764.526306,182.556137,-65.734863,3.414795,-3.621582,3.994995
2.459465,-2.380371,-66.223145,104.61425,0.136475,-0.158447,1.149902
2.519073,-32.592773,27.648924,-2.075195,0.042725,-0.899902,1.810303
2.698657,630.615234,-140.74707,-278.808594,2.293579,-2.489746,3.942749
2.759053,548.217773,-115.844719,-209.899887,2.160767,3.530151,3.984131
2.939334,-992.614685,68.969727,211.608871,-0.616699,-3.010376,3.999878
2.999021,-137.695312,188.476547,168.945297,-2.71814,-3.157227,-0.154541
3.119069,5.981445,-3.784179,13.85498,0.127075,-0.029785,1.067017
3.239521,432.800262,-19.287109,-97.961418,0.273804,-3.533325,3.266113
3.359495,749.816833,-146.972656,-188.842758,1.770508,-1.791382,3.99939
3.478724,-400.085419,3.845215,129.150391,0.446411,3.610229,3.999878
3.598971,-828.796326,123.046867,96.92382,-0.03894,-3.073364,3.999878
3.717796,-179.443344,-201.843246,219.909653,-0.222534,1.184448,0.461182
3.839122,-11.169433,9.338379,2.441406,0.204956,-0.063599,1.217529
3.958786,538.879395,-16.052246,-388.671844,2.470703,-2.679321,3.987305
4.07877,647.827087,-171.691879,-225.280746,2.465698,1.593872,3.999878
4.199078,-933.776794,61.523434,249.206528,0.350098,-1.342163,3.96875
4.319322,-494.750946,48.583981,227.905258,0.475586,-3.999878,0.83374
4.438969,49.987789,13.916015,-41.931149,-0.106201,0.206299,0.82959
4.559019,61.035152,140.930176,-380.798309,0.145264,-3.999878,-0.084229
4.679734,712.890564,-79.467773,-144.40918,2.000854,-2.829834,3.999878
4.798975,225.891098,-61.645504,-9.277344,0.523804,4,2.380005
4.919634,-829.528748,92.834465,159.118652,1.026001,-2.040527,3.999878
5.038929,-258.666992,-314.880371,182.434067,-1.795654,-0.400391,2.105713
5.158746,-5.126953,5.187988,3.90625,0.121826,0.010986,1.136963
5.278649,896.91156,196.594223,-303.405762,3.493164,-3.95105,3.999878
5.398477,834.41156,-160.827621,-343.078583,2.660278,-2.859497,3.999878
5.518596,-1170.959473,-268.920898,-152.34375,0.464966,-3.459351,3.993042
5.639923,-641.967773,320.3125,149.780273,-0.309448,-3.999878,1.755127
5.759695,17.76123,-2.990722,-8.300781,-0.061768,0.0354,1.050049
5.879131,129.455566,409.118622,-353.942841,0.386963,-3.999878,-1.214966
5.999587,706.787048,-256.225586,-146.728516,3.149536,-2.453735,3.999878
6.180049,37.231445,-73.059082,-51.574703,0.459229,4,2.601929
6.239655,-791.992126,129.638672,-59.143063,0.781128,-2.34082,3.999878
6.359432,-285.644531,-256.835938,63.720699,-1.079956,1.120117,1.664673
6.479416,5.859375,2.197266,5.981445,0.10791,0.026611,1.032471
6.598555,714.477478,-137.512207,-207.580551,1.069092,-3.611572,3.999878
6.720481,786.498962,-145.385742,-183.837875,1.423828,-1.932861,3.999878
6.840162,-618.530273,243.041977,63.049313,1.642334,2.443604,3.999878
6.957909,-634.033203,335.693329,-33.447266,2.639771,-3.999878,3.999878
7.07807,77.575684,-19.470215,12.451171,0.321167,-0.010376,0.953125
7.198817,-61.035152,241.821274,-231.567368,-1.662842,-3.999878,0.564941
7.318905,742.248474,-140.991211,-166.13768,1.965332,-3.07019,3.999878
7.439043,219.665512,-133.972168,-141.052246,3.025024,4,3.006592
7.559752,-900.756775,101.989738,222.412094,0.040649,-1.628906,3.999878
7.679266,-273.31543,109.191887,179.931625,-1.022339,-3.960327,-0.510254
7.799639,10.375976,-1.586914,9.033203,0.098389,0.001343,1.026367
7.918949,296.386719,50.537106,-205.444321,0.048584,-3.474976,2.187256
8.040214,716.003357,-145.996094,-195.678696,1.885254,-2.441772,3.999146
8.158909,-318.237305,-69.458008,-77.514648,2.164062,3.944214,3.476685
8.279581,-854.06488,198.669418,-22.827147,0.193359,-3.873169,3.979736
8.399455,-65.063477,-82.824699,229.980453,0.041626,0.259766,1.183105
8.519251,-34.606934,34.179688,-6.04248,-0.989502,-1.335693,0.911255
8.759135,619.567871,-1.037598,-292.053223,2.981812,-2.950439,3.966553
8.763352,554.80957,-174.07225,-377.807587,3.609619,1.028198,3.999878
8.879454,-1053.771973,24.902342,-27.648924,0.118774,-2.368652,3.960693
8.999338,-428.649872,173.034653,196.899399,-2.033325,-3.989624,2.703125
9.119842,20.751951,2.319336,-3.540039,0.076904,-0.048706,1.111084
9.239131,292.602539,167.9077,-123.90136,-1.026855,-3.362427,1.244019
9.359545,688.720642,-195.800766,-41.320797,1.053101,-2.15271,3.999512
9.539518,-51.086422,-91.064445,-27.404783,0.675537,3.962402,3.5177
9.59891,-782.226501,135.864258,-8.666992,-0.326172,-2.550781,3.857788
9.719659,-125.91552,-152.22168,294.799805,-1.349121,1.543091,0.71521
9.838593,-20.935057,17.944336,0.366211,0.167236,-0.019775,1.197876
9.958615,696.289001,141.540527,-319.580078,2.76123,-2.677124,3.999878
10.079487,766.662537,-261.657715,-222.71727,1.091187,-2.141235,3.999878
10.198841,-1060.974121,-9.643555,-152.709961,1.230591,-2.437866,3.968628
10.318617,-433.95993,108.215324,198.242172,-0.57312,-3.97522,2.414673
10.438437,36.193848,-3.234863,-32.958984,-0.158447,0.168945,0.887329
10.558848,161.621078,103.210442,-422.729462,2.724121,-3.799438,-0.197998
10.679219,745.727478,-40.222164,-209.594711,1.953369,-2.743774,3.999878
10.79904,206.420883,-121.154778,39.916992,1.406372,4,2.766235
10.919626,-807.18988,69.030762,288.513184,0.305176,-1.293213,3.672607
11.039402,-340.942352,-131.591797,75.134277,-1.971924,-1.954712,1.81543
11.159775,8.239746,0.610352,4.638672,0.07666,0.040405,1.016968
11.280328,485.656708,-64.758301,-150.085449,-0.417114,-3.603516,3.793213
11.399536,756.347595,-92.65136,-70.617676,0.334473,-2.146362,3.999512
11.519337,-509.460419,-65.551758,-93.139641,0.859131,2.88147,3.999878
11.639339,-740.417419,252.990707,78.918457,0.314941,-3.480713,3.929932
11.759284,17.211914,-39.306641,293.945312,-0.049561,0.308594,0.789062
11.879242,-17.944336,14.892577,-0.549316,0.096802,-0.116699,1.414795
11.999096,587.646484,-17.272949,-242.858871,2.23877,-2.671509,3.925171
12.119024,663.024841,-183.898911,-251.037582,2.553223,0.682007,3.999878
12.239686,-1024.108887,128.417969,111.572258,0.298462,-1.832153,3.958618
12.359109,-359.313934,89.904778,178.710922,-0.899658,-3.984863,1.202271
12.47954,9.643555,0.427246,11.413573,0.130249,-0.01709,1.044312
12.604001,225.463852,102.355949,-258.911133,0.453491,-3.06311,1.508301
12.719487,734.435974,-98.754875,-179.016098,1.997803,-2.851562,3.999878
12.838958,-90.75927,-147.766113,112.42675,-2.726929,4,2.320679
12.958827,-686.09613,198.059067,118.713371,0.308594,-2.070312,3.999878
13.079315,-204.467758,-290.588379,-95.397942,-1.204468,0.875977,1.894897
13.198891,-1.708984,2.258301,5.859375,0.085205,0.021118,1.064819
13.318844,749.267517,7.751464,-162.841782,1.845459,-3.331177,3.999878
13.439827,727.416931,-220.275864,-208.862289,1.259155,-2.293213,3.999878
13.559417,-807.372986,149.597168,-251.831039,1.195801,1.074219,3.999878
13.67856,-641.540527,323.791473,102.416985,0.31665,-3.999878,1.511475
13.798395,37.841797,1.770019,-47.607418,0.070435,0.063965,0.883667
13.919207,26.733397,186.279282,-400.69577,-1.527344,-3.999878,0.160522
14.039661,794.921814,-36.987305,-166.809067,2.058594,-3.536011,3.99292
14.159656,348.083466,-38.757324,-94.360344,3.981201,3.092651,3.909302
